"gamecube","Metal Gear Solid: The Twin Snakes","none","https://www.metacritic.com/game/gamecube/metal-gear-solid-the-twin-snakes",85,8.9,"Mar 9, 2004"
"gamecube","The Sims","none","https://www.metacritic.com/game/gamecube/the-sims",85,7.6,"Mar 25, 2003"
"gamecube","NASCAR Thunder 2003","none","https://www.metacritic.com/game/gamecube/nascar-thunder-2003",85,7,"Sep 19, 2002"
"gamecube","NASCAR: Dirt to Daytona","none","https://www.metacritic.com/game/gamecube/nascar-dirt-to-daytona",85,7.6,"Nov 27, 2002"
"gamecube","Prince of Persia: The Two Thrones","none","https://www.metacritic.com/game/gamecube/prince-of-persia-the-two-thrones",84,7.5,"Dec 1, 2005"
"gamecube","Skies of Arcadia Legends","none","https://www.metacritic.com/game/gamecube/skies-of-arcadia-legends",84,8.7,"Jan 27, 2003"
"gamecube","NBA Live 2004","none","https://www.metacritic.com/game/gamecube/nba-live-2004",84,7.7,"Oct 15, 2003"
"gamecube","Sega Soccer Slam","none","https://www.metacritic.com/game/gamecube/sega-soccer-slam",84,7.7,"Mar 18, 2002"
"gamecube","The Incredible Hulk: Ultimate Destruction","none","https://www.metacritic.com/game/gamecube/the-incredible-hulk-ultimate-destruction",84,8.2,"Aug 23, 2005"
"gamecube","The Lord of the Rings: The Return of the King","none","https://www.metacritic.com/game/gamecube/the-lord-of-the-rings-the-return-of-the-king",84,8.1,"Nov 5, 2003"
"gamecube","James Bond 007: Everything or Nothing","none","https://www.metacritic.com/game/gamecube/james-bond-007-everything-or-nothing",84,8.4,"Feb 17, 2004"
"gamecube","Lego Star Wars II: The Original Trilogy","none","https://www.metacritic.com/game/gamecube/lego-star-wars-ii-the-original-trilogy",84,8.6,"Sep 12, 2006"
"gamecube","NBA 2K3","none","https://www.metacritic.com/game/gamecube/nba-2k3",84,6.3,"Oct 7, 2002"
"gamecube","NBA Live 2005","none","https://www.metacritic.com/game/gamecube/nba-live-2005",83,7.1,"Sep 28, 2004"
"gamecube","Resident Evil 0","none","https://www.metacritic.com/game/gamecube/resident-evil-0",83,8.7,"Nov 10, 2002"
"gamecube","Need for Speed Underground","none","https://www.metacritic.com/game/gamecube/need-for-speed-underground",83,8.2,"Nov 17, 2003"
"gamecube","FIFA Soccer 2004","none","https://www.metacritic.com/game/gamecube/fifa-soccer-2004",83,6.3,"Nov 4, 2003"
"gamecube","Freedom Fighters","none","https://www.metacritic.com/game/gamecube/freedom-fighters",83,7.5,"Oct 1, 2003"
"gamecube","Hitman 2: Silent Assassin","none","https://www.metacritic.com/game/gamecube/hitman-2-silent-assassin",83,6.1,"Jun 19, 2003"
"gamecube","Prince of Persia: Warrior Within","none","https://www.metacritic.com/game/gamecube/prince-of-persia-warrior-within",83,7.8,"Nov 30, 2004"
"gamecube","XGIII: Extreme G Racing","none","https://www.metacritic.com/game/gamecube/xgiii-extreme-g-racing",83,7.8,"Nov 27, 2001"
